msg_type,repeat,mmsi,year,month,day,hour,minute,second,accuracy,lon,lat,epfd,spare,raim,radio,time,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,draught,destination,dte,status,turn,speed,course,heading,maneuver,reserved,reserved_2,cs,display,dsc,band,msg22,assigned,dac,fid,data,aid_type,name,off_position,regional,virtual_aid,name_ext,offset1,number1,timeout1,increment1,offset2,number2,timeout2,increment2,offset3,number3,timeout3,increment3,offset4,number4,timeout4,increment4,partno,spare_1,vendorid,model,serial,spare_2
1,0,276260000-B-1-UnderWayUsingEngine,,,,,,5,0,24.71409,59.46269,,0,FALSE,22016,1662517806,,,,,,,,,,,,,0,0,0,273,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-B-3-RestrictedManoeuverability,,,,,,5,1,24.319795,59.543152,,0,TRUE,4273,1662517806,,,,,,,,,,,,,3,-127,11.9,175.5,172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,992761001-A-21,,,,,,0,0,25.18898,59.58566,1,0,FALSE,,1662517806,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,FALSE,,,,23,BUOY-148,FALSE,228,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1,0,276702000-A-1-UnderWayUsingEngine,,,,,,6,1,24.793683,59.558573,,0,FALSE,82004,1662517807,,,,,,,,,,,,,0,-128,0,360,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276005280-B-1-UnderWayUsingEngine,,,,,,6,0,24.66965,59.451767,,0,FALSE,114761,1662517807,,,,,,,,,,,,,0,0,0,162.2,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,538008636-A-1-UnderWayUsingEngine,,,,,,39,0,24.570337,59.796147,,0,FALSE,65820,1662517808,,,,,,,,,,,,,0,0,12.9,258.3,257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,309175000-A-5,,9,7,15,0,,,,,0,FALSE,,,1662517808,2,8128884,C6VC3,ICELANDICA HAV,70,66,16,11,1,3,MUUGA,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276787000-B-1-UnderWayUsingEngine,,,,,,7,0,24.671368,59.451513,,0,FALSE,33069,1662517808,,,,,,,,,,,,,0,-128,0,334.5,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,002766140-A-20,,,,,,,,,,,0,,,1662517808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7,1125,1938,1,7,250,0,,,,,,,,,,,,,
4,0,002300108-A-4,2022,9,7,11,0,8,0,24.6402,60.177317,0,0,TRUE,22016,1662517809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276675000-B-1-UnderWayUsingEngine,,,,,,0,0,24.793167,59.5585,,0,FALSE,33112,1662517809,,,,,,,,,,,,,0,0,0,270.5,281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276538000-A-1-UnderWayUsingEngine,,,,,,8,0,24.713998,59.462525,,0,FALSE,22016,1662517810,,,,,,,,,,,,,0,-128,0,0,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,002766140-B-4,2022,9,7,11,0,9,0,24.84,59.516667,0,0,FALSE,153088,1662517810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276807000-A-3-Moored,,,,,,9,1,24.77,59.445667,,0,TRUE,85450,1662517810,,,,,,,,,,,,,5,0,0,98.3,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,002766160-B-4,2022,9,7,11,0,9,0,25.500053,59.645888,0,0,FALSE,196993,1662517810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276003580-B-1-UnderWayUsingEngine,,,,,,10,1,24.669497,59.451382,,0,FALSE,22016,1662517811,,,,,,,,,,,,,0,0,0,217.5,166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276330000-B-1-UnderWayUsingEngine,,,,,,9,1,24.792167,59.558783,,0,FALSE,33180,1662517811,,,,,,,,,,,,,0,0,0,329,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276007420-A-18,,,,,,11,1,24.759343,59.556782,,,TRUE,2234,1662517811,,,,,,,,,,,,,,,23,353.8,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276385000-B-1-UnderWayUsingEngine,,,,,,11,1,24.81451,59.498965,,0,TRUE,49272,1662517812,,,,,,,,,,,,,0,0,0,58.8,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,002300108-B-4,2022,9,7,11,0,11,0,24.640202,60.177317,0,0,TRUE,22016,1662517813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276835000-B-1-UnderWayUsingEngine,,,,,,12,0,24.709132,59.459543,,0,FALSE,133348,1662517813,,,,,,,,,,,,,0,-127,0.1,88.1,155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-B-3-RestrictedManoeuverability,,,,,,12,1,24.319842,59.542777,,0,TRUE,3968,1662517813,,,,,,,,,,,,,3,0,11.5,177.9,173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276008650-B-18,,,,,,13,0,24.834022,59.465272,,,FALSE,609610,1662517814,,,,,,,,,,,,,,,0,360,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276645000-A-1-UnderWaySailing,,,,,,13,0,24.792445,59.558665,,0,FALSE,49194,1662517814,,,,,,,,,,,,,8,-128,0,147.7,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276432000-A-1-UnderWayUsingEngine,,,,,,12,1,24.719743,59.45774,,0,FALSE,98837,1662517814,,,,,,,,,,,,,0,0,0,127,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276008340-A-3-Moored,,,,,,14,1,24.701087,59.455702,,0,TRUE,86586,1662517815,,,,,,,,,,,,,5,-128,0,0,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276853000-A-1-UnderWayUsingEngine,,,,,,14,1,24.814788,59.498563,,0,FALSE,22016,1662517815,,,,,,,,,,,,,0,0,0,204.1,326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276636000-B-1-UnderWaySailing,,,,,,14,0,24.709967,59.460083,,0,FALSE,82009,1662517815,,,,,,,,,,,,,8,127,0,87.6,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276009510-A-18,,,,,,14,0,24.737737,59.453247,,,FALSE,917510,1662517815,,,,,,,,,,,,,,,0.1,98.4,511,,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276785000-B-1-UnderWayUsingEngine,,,,,,14,1,24.340867,59.570402,,0,TRUE,2248,1662517815,,,,,,,,,,,,,0,-128,7.9,127.5,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276001840-B-1-Undefined,,,,,,60,0,24.81402,59.499362,,0,TRUE,213114,1662517815,,,,,,,,,,,,,15,-128,0,252,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,002300108-A-20,,,,,,,,,,,0,,,1662517816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756,1,1,250,2250,1,2,1125,0,,,,,,,,,,,,,
4,0,002300108-A-4,2022,9,7,11,0,14,0,24.640202,60.177318,0,0,TRUE,22016,1662517816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276005280-A-1-UnderWayUsingEngine,,,,,,16,0,24.669645,59.451767,,0,FALSE,49225,1662517816,,,,,,,,,,,,,0,0,0,236.9,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-A-3-RestrictedManoeuverability,,,,,,15,1,24.319857,59.542618,,0,TRUE,4145,1662517816,,,,,,,,,,,,,3,-127,11.5,175.8,172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,311000855-B-3-AtAnchor,,,,,,28,0,24.509665,59.519967,,0,FALSE,131072,1662517816,,,,,,,,,,,,,1,0,0,57.2,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276012340-B-18,,,,,,16,1,24.729805,59.453352,,,TRUE,608202,1662517817,,,,,,,,,,,,,,,0.1,360,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276702000-B-1-UnderWayUsingEngine,,,,,,17,1,24.7937,59.558602,,0,FALSE,66177,1662517817,,,,,,,,,,,,,0,-128,0.1,82,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276260000-A-1-UnderWayUsingEngine,,,,,,16,0,24.714102,59.462692,,0,FALSE,49265,1662517817,,,,,,,,,,,,,0,0,0,232.1,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276675000-A-1-UnderWayUsingEngine,,,,,,0,0,24.793167,59.5585,,0,FALSE,2263,1662517818,,,,,,,,,,,,,0,0,0,270,281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276829000-A-1-UnderWayUsingEngine,,,,,,16,1,24.728885,59.664563,,2,FALSE,33432,1662517818,,,,,,,,,,,,,0,0,22.2,22.6,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276787000-A-1-UnderWayUsingEngine,,,,,,17,0,24.671362,59.451523,,0,FALSE,2193,1662517818,,,,,,,,,,,,,0,-128,0,333.3,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,538008636-B-1-UnderWayUsingEngine,,,,,,50,0,24.569067,59.796013,,0,FALSE,33437,1662517818,,,,,,,,,,,,,0,0,12.9,258.1,257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276012100-B-18,,,,,,18,0,24.602953,59.451487,,,FALSE,917510,1662517819,,,,,,,,,,,,,,,0,12.9,511,,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,002300108-B-4,2022,9,7,11,0,18,0,24.6402,60.177322,0,0,TRUE,22016,1662517819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276330000-A-3-UnderWayUsingEngine,,,,,,17,1,24.792167,59.558783,,0,FALSE,20499,1662517820,,,,,,,,,,,,,0,0,0,322,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-B-3-RestrictedManoeuverability,,,,,,19,1,24.319887,59.542405,,0,TRUE,0,1662517820,,,,,,,,,,,,,3,0,11.6,175.8,172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,002766140-A-4,2022,9,7,11,0,19,0,24.84,59.516667,0,0,FALSE,164591,1662517820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
